,Miscellaneous Items,Current Quantity,Vendor,Cost Per Unit,,,Enrichment Retreat Item,Current Quantity,Vendor,Cost Per Unit,,,Marriage Discipleship Item,Current Quantity,Vendor,Cost per Unit,,,R&R Item,Current Quantity,Vendor,Cost per Unit
Picture,Marriage Retreat Pamphlet Packs,5,Smartpress,$0.33 ,,,Red Journals,1550,Cedarstream,$4.75 ,,,Red WSM tshirt S,22,Cedarstream,$8.10 ,,,Red QZ S,6,Oobe,$24.10 
Picture,Marriage Retreat Info Cards,146,Smartpress,$0.28 ,,,Pens,850,Cedarstream,$1.21 ,,,Red WSM tshirt M,5,Cedarstream,$8.10 ,,,Red QZ M,12,Oobe,$24.10 
Picture,Emerge Stronger Together Gray Mug,11,,,,,Seasons of Us Burlap Frames,6,Amazon,$16.99 ,,,Red WSM tshirt L,72,Cedarstream,$8.10 ,,,Red QZ L,12,Oobe,$24.10 
,Blue WSM tshirt S,13,Cedarstream,$8.10 ,,,Self-Guided: Seasons of Us Booklet,32,,,,,Red WSM tshirt XL,74,Cedarstream,$8.10 ,,,Red QZ XL,8,Oobe,$24.10 
,Blue WSM tshirt M,12,Cedarstream,$8.10 ,,,Toothpaste,144,Amazon,$0.27 ,,,Red WSM tshirt XXL,48,Cedarstream,$8.10 ,,,Red QZ XXL,18,Oobe,$24.10 
,Blue WSM tshirt L,0,Cedarstream,$8.10 ,,,Seasons of Us Keepsake Box,,Amazon,$24.97 ,,,Red WSM tshirt XXXL,12,Cedarstream,$8.10 ,,Picture,Pastor's R&R Booklets,17,Smartpress,$8.00 
,Blue WSM tshirt XL,19,Cedarstream,$8.10 ,,,Empty Red Drawstring Bags,42,4imprint,$1.46 ,,Picture,Marriage Discipleship Info Card (Greenish blue),63,,,,,Invitation to Retreat Book,16,discontinuing handing out books,
,Blue WSM tshirt 2XL,27,Cedarstream,$8.10 ,,,,,,,,,Ogio Backpacks,51,Cedarstream,$57.25 ,,,A Conversation with God: Trees,46,one time purchase,
,Blue WSM tshirt 3XL,6,Cedarstream,$8.10 ,,,,,,,,,Navy Stainless Tumblers 301,20,,,,,Tell me about...,44,one time purchase,
Picture,White Stainless Tumblers,27,,,,,,, ,,,,Host Couple Mugs,72,,,,,I Want to Know More About You...,45,one time purchase,
,Navy QZ Women's S,6,Oobe,$24.10 ,,,,,,,,,Eddie Bauer Backpacks,4,,,,,Labyrinth/PrayerWalk Card,10,Rome Fast Printing,
,Black QZ Women's S,4,Oobe,$24.10 ,,,,,,,,,Osprey Backpacks,2,,,,Picture,Refresh & Renew Retreat Booklet,83,old version,
,Navy QZ Men's S,13,Oobe,$24.10 ,,,,,,,,,The North Face Backpacks,1,,,,,Every Moment Holy Pocket Edition,21,rabbit room press,
,Navy QZ Men's M,8,Oobe,$24.10 ,,,,,,,,,Water Bottles,323,Cedarstream,$9.42 ,,,Every Moment Holy Gift Edition,24,rabbit room press,$10.70 
,Navy QZ Men's XL,1,Oobe,$24.10 ,,,,,,,,,Frisbees,89,,,,,A Liturgy Before Serving Others,52,Rome Fast Printing,$5.52 
,Navy QZ Men's 2XL,4,Oobe,$24.10 ,,,,,,,,,,,,,,,Rolled Rugs,60,Amazon,$15.99 
,Black QZ Women's 2XL,3,Oobe,$24.10 ,,,,,,,,,,,,,,,R&R Travel Tubes (incomplete),147,Amazon,$2.34 
,Navy QZ Women's 2XL,2,Oobe,$24.10 ,,,,,,,,,,,,,,,Ministry Leader R&R Booklet,12,Smartpress,
,Navy QZ Men's 3XL,1,Oobe,$24.10 ,,,,,,,,,,,,,,,R&R Travel Tubes (complete),34,Amazon,$2.34 
Picture,Diner Mugs for FTS,96,,,,,,,,,,,,,,,,,Labyrinth Crosses,450,Amazon,$2.00 
,Adventure Long Sleeve S,0,,,,,,,,,,,,,,,,,,,,
,Adventure Long Sleeve M,29,,,,,,,,,,,,,,,,,,,,
,Adventure Long Sleeve L,6,,,,,,,,,,,,,,,,,,,,
,Adventure Long Sleeve XL,68,,,,,,,,,,,,,,,,,,,,
,Adventure Long Sleeve 2XL,4,,,,,,,,,,,,,,,,,,,,
,Facilitating Transformation S,14,,,,,,,,,,,,,,,,,,,,
,Facilitating Transformation M,3,,,,,,,,,,,,,,,,,,,,
,Facilitating Transformation L,0,,,,,,,,,,,,,,,,,,,,
,Facilitating Transformation XL,0,,,,,,,,,,,,,,,,,,,,
,Facilitating Transformation 2XL,11,,,,,,,,,,,,,,,,,,,,
